,Agent_Age,Agent_Rating,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Distance_km,Order_Hour,Order_Day,Pickup_Delay_Minutes,precictted_dilevery_time
0,37,4.9,26,39,46,4,0,1,3,58,2,3.0207366434610647,11.0,2.0,15.0,60.741257
1,34,4.5,31,130,143,3,1,2,0,67,4,20.143736910348597,19.0,2.0,5.0,67.8661
2,23,4.4,26,6,10,2,2,1,3,60,14,1.549692932239404,8.0,2.0,15.0,56.70091
3,38,4.7,42,111,123,4,3,1,0,55,3,7.774496620087613,18.0,2.0,10.0,56.39015
4,32,4.6,32,61,70,0,0,2,0,64,15,6.197897916874956,13.0,2.0,15.0,64.04743
5,22,4.8,18,147,163,0,1,1,3,60,15,4.602205335871525,21.0,2.0,10.0,61.02964
6,33,4.7,11,124,139,1,1,2,0,74,15,16.576886807242534,19.0,2.0,15.0,73.88778
7,35,4.6,21,104,115,0,3,1,0,66,13,20.164987511903337,17.0,2.0,5.0,67.01469
8,22,4.8,27,143,158,3,1,1,0,68,4,19.94021940160752,20.0,2.0,10.0,65.37834
9,36,4.2,1,154,171,1,1,1,0,80,15,10.27146402322994,21.0,2.0,15.0,81.1076
10,21,4.7,2,77,86,3,0,1,0,57,3,6.229376076976667,14.0,2.0,10.0,58.88587
11,23,4.7,11,105,117,2,3,2,0,55,11,13.764305929575334,17.0,2.0,10.0,57.663116
12,34,4.3,2,15,19,2,2,1,0,54,0,2.9277947281095997,9.0,2.0,10.0,55.184578
13,24,4.7,3,131,146,1,1,2,0,75,7,19.37348408863585,19.0,2.0,15.0,73.522705
14,29,4.5,39,137,152,2,1,3,0,54,9,13.740932234405253,20.0,2.0,10.0,55.318214
15,35,4.0,8,77,87,5,0,2,0,23,5,6.205589948340002,14.0,2.0,15.0,22.560377
16,33,4.2,23,138,153,2,1,1,0,74,3,16.821191645783845,20.0,2.0,10.0,75.40556
17,34,4.9,27,140,155,0,1,1,0,75,13,10.738078032534037,20.0,2.0,10.0,77.7645
18,21,4.7,4,146,163,5,1,1,3,49,7,4.533895591762387,21.0,2.0,15.0,48.36919
19,25,4.1,23,136,150,2,1,1,0,70,15,12.23513612361146,20.0,2.0,5.0,68.43214
20,31,4.7,17,160,178,2,2,3,0,60,1,19.590994221235338,22.0,2.0,15.0,60.098557
21,37,5.0,18,3,7,2,2,1,0,54,2,1.554950180979803,8.0,2.0,15.0,55.48045
22,33,4.3,33,127,142,5,1,2,0,73,13,20.140905255245308,19.0,2.0,15.0,73.75483
23,25,4.0,32,49,55,0,0,1,0,68,7,6.106736943461254,12.0,2.0,5.0,67.64627
24,29,4.5,33,117,131,4,3,3,0,49,9,17.04198395713032,18.0,2.0,15.0,47.56845
25,27,5.0,42,139,153,3,1,1,3,52,3,4.4650683810240395,20.0,2.0,5.0,50.461193
26,35,4.3,19,169,187,0,2,2,0,72,4,13.66073757837138,23.0,2.0,10.0,71.707794
27,32,4.0,23,147,164,5,1,1,0,81,3,13.94563444308926,21.0,2.0,15.0,82.92611
28,23,4.8,39,172,190,5,2,3,3,46,7,16.82479191121949,23.0,2.0,10.0,45.221268
29,31,4.8,38,161,179,2,2,1,0,60,7,4.664630782215899,22.0,2.0,15.0,60.267956
30,36,4.1,12,161,177,3,2,1,3,56,3,7.589769422472331,22.0,2.0,5.0,54.848495
31,26,4.3,0,170,188,2,2,1,3,55,7,7.705941974795929,23.0,2.0,10.0,54.995884
32,38,4.9,0,62,69,0,0,2,3,59,11,6.164143763345328,13.0,2.0,5.0,57.309475
33,32,3.5,15,150,166,3,1,2,3,25,5,17.259376716936664,21.0,2.0,10.0,24.471392
34,32,4.6,39,161,178,0,2,2,0,64,14,19.8806889061088,22.0,2.0,10.0,62.974842
35,33,4.9,15,121,135,4,3,1,0,56,7,10.706184356730288,18.0,2.0,15.0,55.084244
36,20,4.7,40,69,78,5,0,2,3,40,15,6.117369061558013,14.0,2.0,10.0,39.91341
37,20,4.8,36,34,39,2,2,2,0,53,8,1.51798712661804,11.0,2.0,10.0,51.451614
38,35,5.0,38,20,24,4,2,2,3,45,2,3.06801652533814,9.0,2.0,10.0,45.403465
39,26,4.9,34,8,12,3,2,2,0,45,8,3.0990100939446292,8.0,2.0,15.0,44.645153
40,22,4.8,25,166,183,1,2,1,0,62,1,10.846013590626095,23.0,2.0,10.0,58.49435
41,35,4.3,21,104,115,0,3,1,0,23,5,10.844094035055107,17.0,2.0,5.0,22.035246
42,37,4.7,41,130,143,2,1,1,0,86,2,13.661199383826538,19.0,2.0,5.0,84.962944
43,28,4.6,15,123,138,3,1,2,0,56,3,16.79799879130621,19.0,2.0,15.0,54.940163
44,37,4.9,2,33,37,1,2,2,3,6,5,3.0227804656534882,10.0,2.0,5.0,5.0039
45,23,4.9,30,151,166,4,1,3,0,45,0,9.1598473686937,21.0,2.0,5.0,48.15031
46,27,4.9,26,122,136,5,3,2,0,59,13,9.296712100181105,19.0,2.0,15.0,58.29069
47,37,4.8,16,97,108,0,3,1,3,60,7,6.196805343667927,16.0,2.0,10.0,59.494797
48,33,5.0,26,39,45,4,0,2,0,52,11,1.5179748068733323,11.0,2.0,10.0,52.954674
49,31,4.9,40,79,88,1,3,1,0,50,1,6.028674005255561,15.0,2.0,5.0,54.6369
50,31,4.8,31,163,180,3,2,2,0,57,3,17.044988256333504,22.0,2.0,10.0,58.239414
51,25,5.0,2,156,174,0,2,1,0,49,6,4.707104052532131,22.0,2.0,15.0,49.61929
52,28,4.8,41,141,156,2,1,1,0,70,8,12.43888855192116,20.0,2.0,10.0,68.11641
53,31,4.7,32,164,182,0,2,1,0,50,2,9.107220024938373,22.0,2.0,15.0,51.079742
54,24,4.7,17,110,121,4,3,1,3,53,13,13.994592406584347,17.0,2.0,5.0,48.630726
55,39,4.6,3,163,181,4,2,1,0,61,7,13.377332859549806,22.0,2.0,15.0,60.43801
56,39,4.2,9,139,155,1,1,2,2,83,0,12.552275755914394,20.0,2.0,15.0,82.24248
57,32,4.5,32,16,21,5,2,2,1,54,11,1.4881912567305338,9.0,2.0,15.0,53.651844
58,36,4.7,20,135,149,0,1,1,0,64,14,9.414207472710387,20.0,2.0,5.0,62.721634
59,25,4.8,35,159,176,2,2,2,3,52,3,11.902753837483976,22.0,2.0,10.0,50.173676
60,33,4.9,36,154,169,4,1,2,0,56,1,4.654256824131882,21.0,2.0,5.0,58.670906
61,30,4.4,19,162,180,0,2,2,0,68,11,10.624594799022988,22.0,2.0,15.0,67.89809
62,33,5.0,37,175,192,2,2,1,3,58,7,16.790293751513897,23.0,2.0,5.0,58.916832
63,36,4.9,24,82,93,1,3,2,0,51,10,6.118069582492733,15.0,2.0,15.0,50.511612
64,21,4.8,4,26,31,2,2,3,0,48,11,2.992439854305071,10.0,2.0,10.0,50.284515
65,39,4.9,4,143,157,3,1,1,0,64,12,7.335684979628153,20.0,2.0,5.0,64.21682
66,23,4.8,14,30,35,3,2,2,0,5,5,3.1380694073889375,10.0,2.0,10.0,4.7444015
67,35,4.8,34,88,98,1,3,2,3,50,0,6.276138627413788,15.0,2.0,10.0,50.040985
68,39,4.6,23,134,148,0,1,2,0,70,6,13.944598794232533,20.0,2.0,5.0,73.76115
69,22,4.7,24,46,52,4,0,2,3,52,14,6.071959804867507,12.0,2.0,5.0,53.998497
70,32,4.6,22,83,94,1,3,2,0,51,9,6.071422120848535,15.0,2.0,15.0,51.876293
71,24,4.8,31,156,172,2,2,1,3,49,0,12.552275755914394,22.0,2.0,5.0,47.253384
72,29,4.7,16,29,34,1,2,1,0,51,1,3.1380694073889375,10.0,2.0,10.0,50.21465
73,26,4.7,12,175,1,1,2,1,0,40,11,9.204061108012812,23.0,2.0,-1425.0,45.599804
74,20,4.5,0,145,162,1,1,1,0,61,14,7.845173108613388,21.0,2.0,15.0,59.35313
75,35,4.1,19,137,153,2,1,1,0,71,10,13.942135995521298,20.0,2.0,15.0,75.257996
76,39,4.6,35,142,157,1,1,2,0,78,4,13.945658037651098,20.0,2.0,10.0,76.36922
77,34,4.7,26,51,58,5,0,3,0,62,13,6.049848888721861,12.0,2.0,10.0,61.81876
